# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.57929829    0.57929798    0.82137429    3.70369842    3.14729633    0.77018929   -1.00000000  -1.17997e+01
   5.000    0.69778688    0.69778647    0.94616374    3.71034048    3.12789772    0.77018929   -1.00000000  -1.16948e+01
   5.000    0.89894360    0.89894301    1.10616760    3.71907967    3.11524050    0.77018929   -1.00000000  -1.15904e+01
   5.000    1.15267080    1.15266998    1.24538744    3.72629318    3.11284179    0.77018929   -1.00000000  -1.15063e+01
   5.000    1.43292467    1.43292358    1.36655173    3.73165328    3.10759617    0.77018929   -1.00000000  -1.14295e+01
   5.000    1.82839777    1.82839629    1.50581224    3.73689242    3.09515949    0.77018929   -1.00000000  -1.13353e+01
   5.000    2.32332987    2.32332787    1.65675208    3.74161876    3.06713426    0.77018929   -1.00000000  -1.12242e+01
   5.000    2.65705451    2.65705214    1.75767216    3.74438680    3.03557116    0.77018929   -1.00000000  -1.11402e+01
   5.000    2.88367237    2.88366971    1.82650859    3.74653507    3.01099703    0.77018929   -1.00000000  -1.10820e+01
   5.000    3.04724914    3.04724636    1.91569139    3.74862238    2.95401915    0.77018929   -1.00000000  -1.09794e+01
   5.000    3.22509131    3.22508826    2.01034187    3.75104780    2.89372378    0.77018930   -1.00000000  -1.08728e+01
   5.000    3.37932052    3.37931718    2.11967606    3.75377899    2.81560899    0.77018929   -1.00000000  -1.07401e+01
   5.000    3.51781466    3.51781099    2.23660555    3.75758282    2.73134452    0.77018929   -1.00000000  -1.05895e+01
   5.000    3.64326240    3.64325834    2.33004325    3.76290360    2.67439275    0.77018928   -1.00000000  -1.04704e+01
   5.000    3.75686461    3.75686012    2.40052392    3.76964663    2.64422148    0.77018927   -1.00000000  -1.03892e+01
   5.000    3.86088971    3.86088479    2.45858910    3.77937720    2.63694341    0.77018925   -1.00000000  -1.03312e+01
   5.000    3.95446187    3.95445650    2.50804802    3.79514005    2.66093617    0.77018923   -1.00000000  -1.02967e+01
   5.000    4.04907491    4.04906908    2.55459478    3.81498126    2.70392965    0.77018922   -1.00000000  -1.02747e+01
   5.000    4.14936143    4.14935512    2.60150559    3.83566395    2.75031132    0.77018920   -1.00000000  -1.02555e+01
   5.000    4.24633521    4.24632841    2.64658552    3.85618233    2.79751777    0.77018919   -1.00000000  -1.02411e+01
   5.000    4.34230426    4.34229696    2.68856548    3.87640928    2.84599680    0.77018917   -1.00000000  -1.02265e+01
   5.000    4.43606053    4.43605274    2.72938282    3.89644953    2.89464992    0.77018916   -1.00000000  -1.02150e+01
   5.000    4.52857706    4.52856877    2.76874855    3.91610239    2.94292850    0.77018914   -1.00000000  -1.02050e+01
   5.000    4.62109022    4.62108142    2.80620386    3.93510722    2.99018172    0.77018912   -1.00000000  -1.01944e+01
   5.000    4.71226545    4.71225615    2.84291772    3.95394726    3.03739155    0.77018911   -1.00000000  -1.01864e+01
   5.000    4.80527262    4.80526279    2.87888011    3.97271490    3.08496901    0.77018909   -1.00000000  -1.01783e+01
   5.000    4.89943277    4.89942241    2.91415818    3.99137777    3.13273258    0.77018907   -1.00000000  -1.01707e+01
   5.000    4.99287122    4.99286033    2.94886294    4.00987000    3.18032259    0.77018908   -1.00000000  -1.01650e+01
   5.000    5.08973865    5.08972720    2.98261700    4.02798581    3.22727295    0.77018909   -1.00000000  -1.01579e+01
   5.000    5.18652988    5.18651787    3.01585114    4.04592844    3.27401304    0.77018911   -1.00000000  -1.01523e+01
   5.000    5.28561875    5.28560618    3.04883414    4.06379091    3.32073794    0.77018912   -1.00000000  -1.01671e+01
   5.000    5.38872077    5.38870771    3.08156185    4.08158815    3.36753119    0.77018913   -1.00000000  -1.04367e+01
   5.000    5.49236641    5.49235303    3.11409196    4.09930183    3.41423176    0.77018916   -1.00000000  -1.15743e+01
   5.000    5.59698216    5.59696856    3.14508664    4.11638687    3.45968318    0.77018920   -1.00000000  -9.90000e+01
   5.000    5.70335043    5.70333661    3.17609733    4.13337219    3.50482758    0.77018924   -1.00000000  -9.90000e+01
   5.000    5.82916529    5.82914784    3.20941573    4.15195914    3.55486957    0.77018928   -1.00000000  -1.16118e+01
   5.000    5.97329599    5.97327209    3.24512936    4.17190569    3.60879225    0.77018931   -1.00000000  -1.11425e+01
   5.000    6.11808100    6.11805059    3.28064713    4.19172567    3.66244926    0.77018934   -1.00000000  -1.09068e+01
   5.000    6.26290839    6.26287144    3.31584606    4.21139100    3.71580935    0.77018936   -1.00000000  -1.07443e+01
   5.000    6.40920437    6.40916077    3.35105567    4.23098035    3.76895523    0.77018937   -1.00000000  -1.06172e+01
   5.000    6.55628989    6.55623955    3.38615175    4.25046673    3.82185672    0.77018937   -1.00000000  -1.05117e+01
   5.000    6.70462582    6.70456865    3.42125889    4.26987340    3.87451375    0.77018936   -1.00000000  -1.04204e+01
   5.000    6.85427398    6.85420986    3.45640624    4.28921809    3.92697230    0.77018934   -1.00000000  -1.03395e+01
   5.000    7.00441788    7.00434678    3.49122493    4.30825120    3.97850994    0.77018929   -1.00000000  -1.02664e+01
   5.000    7.12595382    7.12587899    3.51490985    4.31942126    4.00678833    0.77018929   -1.00000000  -1.02066e+01
   5.000    7.24828984    7.24821121    3.53854088    4.33049897    4.03479913    0.77018929   -1.00000000  -1.01508e+01
   5.000    7.37232456    7.37224204    3.56229948    4.34146732    4.06234676    0.77018929   -1.00000000  -1.00983e+01
   5.000    7.49752056    7.49743405    3.58611591    4.35233898    4.08951936    0.77018929   -1.00000000  -1.00498e+01
   5.000    7.67958520    7.67949274    3.61784787    4.36843822    4.13239982    0.77018929   -1.00000000  -1.14088e+01
   5.000    7.86508458    7.86498609    3.64962705    4.38449263    4.17523669    0.77018929   -1.00000000  -1.12613e+01
   5.000    8.08901112    8.08890532    3.68757653    4.40126997    4.21694908    0.77018929   -1.00000000  -1.11200e+01
   5.000    8.41006175    8.40994397    3.73742169    4.43350455    4.31264507    0.77018929   -1.00000000  -1.08512e+01
   5.000    8.66080445    8.66067700    3.77637858    4.45299157    4.36435539    0.77018929   -1.00000000  -1.06984e+01
   5.000    8.88919913    8.88906255    3.81169846    4.46884991    4.40380776    0.77018929   -1.00000000  -1.05737e+01
   5.000    9.13810393    9.13795661    3.84866463    4.48519111    4.44402631    0.77018929   -1.00000000  -1.04378e+01
   5.000    9.42637653    9.42621601    3.88913410    4.50296977    4.48786174    0.77018929   -1.00000000  -1.02955e+01
   5.000    9.81520569    9.81502719    3.93700096    4.52430655    4.54313331    0.77018929   -1.00000000  -1.01590e+01
   5.000   10.60543493   10.60521493    3.97124668    4.54337257    4.61866687    0.77018929   -1.00000000  -1.00521e+01
   5.000   11.23508677   11.23483053    3.97416577    4.53687673    4.61497923    0.77018929   -1.00000000  -1.00935e+01
   5.000   12.42447158   12.42413673    4.06768716    4.54964938    4.61620712    0.77018929    0.00000000  -9.92654e+00
   5.000   12.71617021   12.71581437    4.09540891    4.55340930    4.61366469    0.77018929    0.00000000  -9.87551e+00
   5.000   13.00792661   13.00754968    4.12391570    4.55731309    4.61091464    0.77018929    0.00000000  -9.82837e+00
   5.000   13.31838999   13.31798790    4.15203147    4.56118313    4.60825026    0.77018929    0.00000000  -9.76473e+00
   5.000   13.62923215   13.62880481    4.18036145    4.56511064    4.60563418    0.77018929    0.00000000  -9.70914e+00
   5.000   13.94001234   13.93955962    4.20870856    4.56906060    4.60308878    0.77018929    0.00000000  -9.65961e+00
   5.000   14.31082162   14.31033569    4.24020222    4.57346240    4.60044560    0.77018929    0.00000000  -9.59364e+00
   5.000   14.69561977   14.69509863    4.27238681    4.57797183    4.59782785    0.77018929    0.00000000  -9.53200e+00
   5.000   15.07166954   15.07111321    4.30333863    4.58231447    4.59537499    0.77018929    0.00000000  -9.47652e+00
   5.000   15.41709109   15.41650002    4.32994429    4.58604532    4.59337386    0.77018929    0.00000000  -9.42191e+00
   5.000   15.76277535   15.76214928    4.35655626    4.58977889    4.59138462    0.77018929    0.00000000  -9.37335e+00
   5.000   16.12846057   16.12779611    4.38397397    4.59362193    4.58936978    0.77018929    0.00000000  -9.32350e+00
   5.000   16.53806900   16.53735896    4.41318117    4.59770635    4.58728405    0.77018929    0.00000000  -9.26684e+00
   5.000   16.94909521   16.94833907    4.44248526    4.60180465    4.58519432    0.77018929    0.00000000  -9.21653e+00
   5.000   17.48074861   17.47992817    4.47799866    4.60674400    4.58271148    0.77018929    0.00000000  -9.14858e+00
   5.000   18.02320435   18.02231706    4.51387705    4.61173027    4.58021172    0.77018929    0.00000000  -9.08723e+00
   5.000   18.47979097   18.47884349    4.54219495    4.61566504    4.57835316    0.77018929    0.00000000  -9.03354e+00
   5.000   18.93581963   18.93481144    4.57048057    4.61959515    4.57649515    0.77018929    0.00000000  -8.98579e+00
   5.000   20.72641602   20.72519341    4.63583437    4.62823661    4.57307124    0.77018929    0.00000000  -8.61416e+00
   5.000   20.72641602   20.72510048    4.65160343    4.63059330    4.57200194    0.77018929    0.00000000  -8.71457e+00
   5.000   20.86663092   20.86528676    4.65793489    4.63144116    4.57159013    0.77018929    0.00000000  -8.69861e+00
   5.000   21.34971687   21.34828585    4.67954224    4.63436371    4.57038380    0.77018929    0.00000000  -8.64805e+00
   5.000   21.83556380   21.83404450    4.70127399    4.63730294    4.56916952    0.77018929    0.00000000  -8.60249e+00
   5.000   22.32414011   22.32253105    4.72312870    4.64025867    4.56794748    0.77018929    0.00000000  -8.56100e+00
   5.000   22.81540851   22.81370817    4.74510471    4.64323062    4.56671756    0.77018929    0.00000000  -8.52291e+00
   5.000   23.30934146   23.30754825    4.76720082    4.64621865    4.56547990    0.77018929    0.00000000  -8.48767e+00
   5.000   23.80590764   23.80401991    4.78941565    4.64922255    4.56423450    0.77018929    0.00000000  -8.45489e+00
   5.000   24.30525419   24.30327022    4.81175576    4.65224322    4.56298095    0.77018929    0.00000000  -8.42421e+00
   5.000   24.80775554   24.80567345    4.83423800    4.65528295    4.56171843    0.77018929    0.00000000  -8.39535e+00
