# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.59561802    0.59561770    0.83387659    3.70129560    3.13751674    0.30661788   -1.00000000  -1.17894e+01
   5.000    0.70029562    0.70029521    0.94715941    3.70779983    3.12068654    0.30661788   -1.00000000  -1.16996e+01
   5.000    0.91554682    0.91554623    1.11433378    3.71705545    3.10680306    0.30661788   -1.00000000  -1.15813e+01
   5.000    1.21368522    1.21368434    1.27293866    3.72550971    3.10450523    0.30661788   -1.00000000  -1.14851e+01
   5.000    1.44285029    1.44284920    1.36992660    3.73001064    3.10067609    0.30661788   -1.00000000  -1.14246e+01
   5.000    1.92492330    1.92492173    1.53522112    3.73649486    3.08650643    0.30661788   -1.00000000  -1.13128e+01
   5.000    2.41490017    2.41489808    1.67962172    3.74114326    3.05917547    0.30661788   -1.00000000  -1.12058e+01
   5.000    2.72435824    2.72435580    1.77014414    3.74368799    3.03119008    0.30661788   -1.00000000  -1.11307e+01
   5.000    2.95342168    2.95341897    1.84077369    3.74580767    3.00409167    0.30661788   -1.00000000  -1.10674e+01
   5.000    3.11617819    3.11617534    1.92004862    3.74784221    2.95628389    0.30661788   -1.00000000  -1.09805e+01
   5.000    3.29275894    3.29275584    2.00737645    3.75011768    2.90201178    0.30661788   -1.00000000  -1.08839e+01
   5.000    3.45951744    3.45951403    2.11866131    3.75304269    2.82385234    0.30661788   -1.00000000  -1.07492e+01
   5.000    3.60106798    3.60106424    2.23642324    3.75680734    2.73860695    0.30661788   -1.00000000  -1.06002e+01
   5.000    3.72393649    3.72393240    2.32868948    3.76134969    2.67905449    0.30661788   -1.00000000  -1.04802e+01
   5.000    3.84039053    3.84038602    2.40388231    3.76776170    2.64287570    0.30661787   -1.00000000  -1.03909e+01
   5.000    3.94427345    3.94426851    2.46353950    3.77621742    2.62863396    0.30661786   -1.00000000  -1.03279e+01
   5.000    4.04985907    4.04985362    2.52050471    3.79313086    2.65070078    0.30661786   -1.00000000  -1.02843e+01
   5.000    4.16601048    4.16600442    2.58028713    3.81867985    2.70534682    0.30661785   -1.00000000  -1.02563e+01
   5.000    4.27059651    4.27058990    2.63224363    3.84247183    2.75944874    0.30661784   -1.00000000  -1.02373e+01
   5.000    4.35461485    4.35460785    2.66967334    3.85839526    2.79405526    0.30661784   -1.00000000  -1.02196e+01
   5.000    4.43650773    4.43650033    2.70595904    3.87419150    2.82908602    0.30661783   -1.00000000  -1.02054e+01
   5.000    4.51924097    4.51923315    2.74219729    3.89071945    2.86707115    0.30661783   -1.00000000  -1.01935e+01
   5.000    4.61034082    4.61033249    2.78112551    3.91028854    2.91497575    0.30661782   -1.00000000  -1.01818e+01
   5.000    4.69977817    4.69976934    2.81906588    3.92971592    2.96314522    0.30661782   -1.00000000  -1.01726e+01
   5.000    4.78937100    4.78936166    2.85575433    3.94881165    3.01106491    0.30661781   -1.00000000  -1.01640e+01
   5.000    4.87992267    4.87991280    2.89118247    3.96749945    3.05845657    0.30661780   -1.00000000  -1.01558e+01
   5.000    4.96798094    4.96797055    2.92539533    3.98592152    3.10577847    0.30661780   -1.00000000  -1.01499e+01
   5.000    5.06137163    5.06136071    2.95970556    4.00424334    3.15281022    0.30661780   -1.00000000  -1.01426e+01
   5.000    5.15713945    5.15712797    2.99370479    4.02241290    3.19960623    0.30661780   -1.00000000  -1.01360e+01
   5.000    5.25552606    5.25551401    3.02803283    4.04056632    3.24623080    0.30661781   -1.00000000  -1.01302e+01
   5.000    5.35958199    5.35956934    3.06192220    4.05873120    3.29338826    0.30661781   -1.00000000  -1.01319e+01
   5.000    5.46364308    5.46362989    3.09548918    4.07675846    3.34033987    0.30661782   -1.00000000  -1.03064e+01
   5.000    5.59041920    5.59040560    3.13550847    4.10112783    3.40771840    0.30661783   -1.00000000  -1.09304e+01
   5.000    5.72982305    5.72981000    3.17988814    4.13027594    3.49087515    0.30661786   -1.00000000  -1.21489e+01
   5.000    5.86018465    5.86016583    3.21290637    4.14819215    3.53843089    0.30661787   -1.00000000  -1.13911e+01
   5.000    5.98893838    5.98891385    3.24522263    4.16588025    3.58566625    0.30661789   -1.00000000  -1.10350e+01
   5.000    6.11833704    6.11830672    3.27735424    4.18343115    3.63258157    0.30661790   -1.00000000  -1.08275e+01
   5.000    6.24859746    6.24856129    3.30936022    4.20085423    3.67917011    0.30661791   -1.00000000  -1.06764e+01
   5.000    6.37943705    6.37939496    3.34119103    4.21814333    3.72543747    0.30661791   -1.00000000  -1.05562e+01
   5.000    6.51096709    6.51091900    3.37288583    4.23530816    3.77139091    0.30661791   -1.00000000  -1.04550e+01
   5.000    6.64343925    6.64338507    3.40451523    4.25235804    3.81701440    0.30661791   -1.00000000  -1.03667e+01
   5.000    6.77678267    6.77672230    3.43608051    4.26929068    3.86229254    0.30661791   -1.00000000  -1.02880e+01
   5.000    6.91064548    6.91057883    3.46752042    4.28610423    3.90725522    0.30661789   -1.00000000  -1.02167e+01
   5.000    7.05098156    7.05090907    3.49853688    4.30268412    3.95171999    0.30661788   -1.00000000  -1.01445e+01
   5.000    7.20190108    7.20182376    3.52848235    4.31889267    3.99565261    0.30661788   -1.00000000  -1.00677e+01
   5.000    7.35569867    7.35561634    3.55860199    4.33514396    4.03975446    0.30661788   -1.00000000  -9.99781e+00
   5.000    7.51444950    7.51436190    3.58913315    4.35145297    4.08397254    0.30661788   -1.00000000  -9.93330e+00
   5.000    7.68948023    7.68938668    3.61948234    4.36787986    4.12908653    0.30661788   -1.00000000  -1.12880e+01
   5.000    7.86659527    7.86649587    3.64982811    4.38415210    4.17375814    0.30661788   -1.00000000  -1.11418e+01
   5.000    8.04865813    8.04855256    3.68007237    4.40013265    4.21747644    0.30661788   -1.00000000  -1.10052e+01
