# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.70117270    0.70117242    0.76116361    3.62883196    2.99133655    0.77018929   -1.00000000  -1.18281e+01
   5.000    0.94448600    0.94448555    1.00404752    3.64671904    2.94933422    0.77018929   -1.00000000  -1.16278e+01
   5.000    1.17651198    1.17651134    1.16904325    3.65764272    2.92339755    0.77018929   -1.00000000  -1.14944e+01
   5.000    2.11628934    2.11628786    1.54145991    3.68213512    2.90396225    0.77018929   -1.00000000  -1.12382e+01
   5.000    2.59341422    2.59341229    1.66024779    3.68942126    2.90266018    0.77018929   -1.00000000  -1.11634e+01
   5.000    2.97341860    2.97341630    1.73998583    3.69387364    2.90008768    0.77018929   -1.00000000  -1.11119e+01
   5.000    3.36885927    3.36885658    1.81343005    3.69764457    2.89596111    0.77018929   -1.00000000  -1.10631e+01
   5.000    3.74049035    3.74048729    1.87705469    3.70058371    2.88954272    0.77018929   -1.00000000  -1.10185e+01
   5.000    4.10106368    4.10106024    1.93362156    3.70322024    2.88333430    0.77018929   -1.00000000  -1.09784e+01
   5.000    4.46478368    4.46477986    1.99207592    3.70552501    2.87111118    0.77018929   -1.00000000  -1.09334e+01
   5.000    4.79268584    4.79268166    2.04366358    3.70762429    2.85870203    0.77018929   -1.00000000  -1.08925e+01
   5.000    5.07857510    5.07857063    2.09418110    3.70967374    2.84151498    0.77018929   -1.00000000  -1.08466e+01
   5.000    5.33359715    5.33359243    2.15028190    3.71177020    2.81508529    0.77018929   -1.00000000  -1.07908e+01
   5.000    5.59606071    5.59605567    2.20808039    3.71406537    2.78733294    0.77018929   -1.00000000  -1.07320e+01
   5.000    5.85258204    5.85257663    2.27602503    3.71668539    2.74933991    0.77018929   -1.00000000  -1.06579e+01
   5.000    6.09207220    6.09206636    2.35929341    3.71994155    2.69639656    0.77018929   -1.00000000  -1.05541e+01
   5.000    6.30962125    6.30961494    2.45311885    3.72418761    2.63468028    0.77018930   -1.00000000  -1.04342e+01
   5.000    6.50676016    6.50675322    2.54269424    3.72946551    2.57984617    0.77018930   -1.00000000  -1.03125e+01
   5.000    6.69916358    6.69915260    2.60392439    3.73872694    2.56686956    0.77018930   -1.00000000  -9.89549e+00
   5.000    6.88487844    6.88486316    2.65718685    3.74942900    2.56723357    0.77018929   -1.00000000  -9.71187e+00
   5.000    7.04800394    7.04798449    2.70133169    3.76085617    2.57829968    0.77018929   -1.00000000  -9.60961e+00
   5.000    7.20657173    7.20654793    2.74314134    3.77333074    2.59562513    0.77018928   -1.00000000  -9.53550e+00
   5.000    7.35662460    7.35659635    2.78338872    3.78665002    2.61739566    0.77018927   -1.00000000  -9.47873e+00
   5.000    7.49872237    7.49868961    2.82353446    3.80078611    2.64207163    0.77018926   -1.00000000  -9.43113e+00
   5.000    7.63299508    7.63295774    2.86443488    3.81616603    2.67051243    0.77018925   -1.00000000  -9.38842e+00
   5.000    7.75984177    7.75979981    2.90660060    3.83236087    2.70051501    0.77018925   -1.00000000  -9.34800e+00
   5.000    7.87966187    7.87961524    2.95026425    3.84907424    2.73068446    0.77018925   -1.00000000  -9.30831e+00
   5.000    7.99276579    7.99271441    2.99536306    3.86608774    2.76022805    0.77018925   -1.00000000  -9.26853e+00
   5.000    8.09964196    8.09958578    3.04176014    3.88320795    2.78853741    0.77018925   -1.00000000  -9.22821e+00
