# log(age)     Mini          Mact          logl          logt          logg      Composition      Phase         logMdot
   5.000    0.53267174    0.53267162    0.44826997    3.57431541    2.96638066    0.12206678   -1.00000000  -1.20682e+01
   5.000    0.64842568    0.64842550    0.62686843    3.58953581    2.93446521    0.12206678   -1.00000000  -1.19187e+01
   5.000    0.89143730    0.89143700    0.89502062    3.60888713    2.88189079    0.12206678   -1.00000000  -1.16930e+01
   5.000    1.19259347    1.19259299    1.12299882    3.62278357    2.83595024    0.12206678   -1.00000000  -1.15040e+01
   5.000    1.50628006    1.50627937    1.29531973    3.63248894    2.80388739    0.12206678   -1.00000000  -1.13645e+01
   5.000    3.17419258    3.17419064    1.79820918    3.66284372    2.74612868    0.12206678   -1.00000000  -1.09965e+01
   5.000    3.60276551    3.60276323    1.88046922    3.66704121    2.73570786    0.12206678   -1.00000000  -1.09357e+01
   5.000    3.94693122    3.94692864    1.93669341    3.67184799    2.73773832    0.12206678   -1.00000000  -1.08984e+01
   5.000    4.28104042    4.28103759    1.98925213    3.67531914    2.73183890    0.12206678   -1.00000000  -1.08492e+01
   5.000    4.62358357    4.62358046    2.04717846    3.67813785    2.71878944    0.12206678   -1.00000000  -1.08029e+01
   5.000    4.63017491    4.63017167    2.04236442    3.68458091    2.75002232    0.12206678   -1.00000000  -1.08225e+01
   5.000    4.63017491    4.63017158    2.03158313    3.69667113    2.81654181    0.12206678   -1.00000000  -1.09575e+01
   5.000    5.01004862    5.01004493    2.09800332    3.69533494    2.77723613    0.12206678   -1.00000000  -1.08885e+01
   5.000    5.01004862    5.01004612    2.16610517    3.63273398    2.45909311    0.12206678   -1.00000000  -1.06344e+01
   5.000    5.21038161    5.21037796    2.09530361    3.69009543    2.77970314    0.12206678   -1.00000000  -1.08143e+01
   5.000    5.21038161    5.21037786    2.13211632    3.69078966    2.74566734    0.12206678   -1.00000000  -1.09814e+01
   5.000    5.21038161    5.21037604    2.04942648    3.78201326    3.18993243    0.12206678   -1.00000000  -1.13550e+01
   5.000    5.21038161    5.21037590    2.04769793    3.78986498    3.22306784    0.12206678   -1.00000000  -1.13349e+01
   5.000    5.21038161    5.21037577    2.04061681    3.79619379    3.25546418    0.12206678   -1.00000000  -1.13419e+01
   5.000    7.25038557    7.25035863    2.80403278    3.80222089    2.65155494    0.12206677   -1.00000000  -9.41646e+00
   5.000    7.36892469    7.36889379    2.83728356    3.81774473    2.68710055    0.12206677   -1.00000000  -9.36725e+00
   5.000    7.48347807    7.48344310    2.87284911    3.83342503    2.72073189    0.12206676   -1.00000000  -9.32130e+00
   5.000    7.59554057    7.59550139    2.91107419    3.84948346    2.75307543    0.12206676   -1.00000000  -9.27671e+00
   5.000    7.70082283    7.70077940    2.95066974    3.86571515    2.78435824    0.12206676   -1.00000000  -9.23425e+00
   5.000    7.80167298    7.80162521    2.99190664    3.88219916    2.81475837    0.12206676   -1.00000000  -9.19271e+00
   5.000    7.89811380    7.89806157    3.03441995    3.89888032    2.84442145    0.12206676   -1.00000000  -9.15189e+00
   5.000    7.99019407    7.99013730    3.07779904    3.91568514    2.87346687    0.12206676   -1.00000000  -9.11167e+00
   5.000    8.07810531    8.07804386    3.12180672    3.93257820    2.90200101    0.12206677   -1.00000000  -9.07198e+00
   5.000    8.16202243    8.16195620    3.16616085    3.94950770    2.93010860    0.12206677   -1.00000000  -9.03281e+00
   5.000    8.24216171    8.24209055    3.21063983    3.96644072    2.95789186    0.12206677   -1.00000000  -8.99417e+00
   5.000    9.06065571    9.06048612    3.75025195    4.18507933    3.33844689    0.12206678   -1.00000000  -8.21026e+00
   5.000    9.13059554    9.13040538    3.78626829    4.20208469    3.37365137    0.12206678   -1.00000000  -8.10758e+00
   5.000    9.19973004    9.19951552    3.82085380    4.21915781    3.41052070    0.12206678   -1.00000000  -8.01061e+00
   5.000    9.26833437    9.26809099    3.85383209    4.23629374    3.44922407    0.12206678   -1.00000000  -7.92031e+00
   5.000    9.33676784    9.33649019    3.88504575    4.25349573    3.48994820    0.12206678   -1.00000000  -7.83363e+00
   5.000    9.40553242    9.40521406    3.91441631    4.27078596    3.53288331    0.12206678   -1.00000000  -7.75372e+00
   5.000    9.47542463    9.47505771    3.94192700    4.28823145    3.57835056    0.12206678   -1.00000000  -7.67807e+00
   5.000    9.54803085    9.54760499    3.96756017    4.30600983    3.62715066    0.12206678   -1.00000000  -7.60706e+00
   5.000    9.62718222    9.62668175    3.99146283    4.32465463    3.68144576    0.12206678   -1.00000000  -7.53999e+00
   5.000    9.72882820    9.72821632    4.01319833    4.34630413    3.75095461    0.12206678   -1.00000000  -7.47599e+00
   5.000    9.96123050    9.96033461    3.99033693    4.37213494    3.88776149    0.12206678   -1.00000000  -7.50138e+00
   5.000   10.22517981   10.22399264    3.91025304    4.36526283    3.95144060    0.12206678   -1.00000000  -7.64396e+00
   5.000   10.67966770   10.67799166    3.94990636    4.38217374    3.99822583    0.12206678   -1.00000000  -7.63701e+00
   5.000   10.94095757   10.93894261    4.01541683    4.40321682    4.02769101    0.12206678   -1.00000000  -7.51606e+00
   5.000   11.12548432   11.12316924    4.06620799    4.42066549    4.05387011    0.12206678   -1.00000000  -7.40749e+00
   5.000   11.34398522   11.34134016    4.11496738    4.43812106    4.08317914    0.12206678   -1.00000000  -7.49405e+00
   5.000   11.83222483   11.82906706    4.14298565    4.45606772    4.14538250    0.12206678    0.00000000  -8.12144e+00
   5.000   11.92142791   11.91818342    4.13967776    4.45384611    4.14317242    0.12206678    0.00000000  -8.12629e+00
   5.000   11.95752276   11.95424360    4.13029108    4.44718738    4.12728717    0.12206678    0.00000000  -8.12926e+00
   5.000   12.03533542   12.03198375    4.14012956    4.44905354    4.12785176    0.12206678    0.00000000  -8.29959e+00
   5.000   12.20089116   12.19735416    4.15490371    4.45274324    4.13347996    0.12206678    0.00000000  -8.14236e+00
   5.000   12.37471204   12.37098283    4.16948154    4.45560078    4.13636982    0.12206678    0.00000000  -8.09917e+00
   5.000   12.54791124   12.54398695    4.18449402    4.45812781    4.13748132    0.12206678    0.00000000  -8.06406e+00
   5.000   12.72235212   12.71822769    4.20086338    4.46072966    4.13757826    0.12206678    0.00000000  -8.03152e+00
   5.000   12.89839604   12.89406565    4.21865298    4.46355422    4.13720131    0.12206678    0.00000000  -7.99852e+00
   5.000   13.08649473   13.08206592    4.23753118    4.46653459    4.13655886    0.12206678    0.00000000  -7.95493e+00
   5.000   13.28948666   13.28510564    4.25695902    4.46957183    4.13581684    0.12206678    0.00000000  -7.90188e+00
   5.000   13.49258660   13.48824658    4.27634710    4.47258241    4.13501120    0.12206678    0.00000000  -7.85478e+00
   5.000   13.69564747   13.69134139    4.29573401    4.47558386    4.13416875    0.12206678    0.00000000  -7.81256e+00
   5.000   13.89692728   13.89264714    4.31497122    4.47855258    4.13328752    0.12206678    0.00000000  -7.77462e+00
   5.000   14.11514290   14.11073397    4.33491524    4.48162048    4.13238092    0.12206678    0.00000000  -7.72837e+00
   5.000   14.34825533   14.34355570    4.35528439    4.48473657    4.13145453    0.12206678    0.00000000  -7.67651e+00
   5.000   14.58196149   14.57695885    4.37568632    4.48785088    4.13050569    0.12206678    0.00000000  -7.63015e+00
   5.000   14.81643834   14.81111968    4.39614691    4.49096808    4.12953252    0.12206678    0.00000000  -7.58827e+00
