923.15,Ly-8 923
926.226,Ly-7 926
930.748,Ly-6 930
937.803,Ly-5 937
949.743,Ly-delta 949.749A
972.537,Ly-gamma 972
1025.72,Ly-beta 1025
1084.94,He II 1084.94A
1215.13,He II 1215.13A
1215.67,Ly-alpha 1215
1486.5,N IV] 1486
1548.19,C IV 1548
1550.77,C IV 1551
1640.41,He II 1640
1660.81,O III] 1661
1666.15,O III] 1666
1814.56,[Ne III] 1815
1854.72,[Al III] 1855
1862.79,[Al III] 1863
1906.68,[C III] 1907
1908.73,C III] 1910
2141.6747,N II] 2141
2321.6629,[O III] 2321
2324.2135,C II] 2324
2325.4038,C II] 2325
2327.6442,C II] 2327
2328.8345,C II] 2328
2424.7361,Blnd 2424
2471.7469,[O II] 2471
2661.1415,[Al II] 2660
2669.9436,[Al II] 2670
2796.3542,Mg II] 2795.53A
2803.5359,Mg II] 2802.71A
2854.4984,Ar IV 2854
3110.082,[Ar III] 3109
3343.141,[Ne III] 3343
3426.8623,[Ne V] 3426
3722.6885,[S III] 3722
3727.0897,[O II] 3726
3729.8704,[O II] 3729
3798.9783,Ba-8 3798
3836.4681,Ba-7 3835
3868.0963,[O II] 3867
3869.8567,[Ne III] 3869
3889.7419,He I 3888.63A
3890.152,Ba-6 3889
3968.5925,[Ne III] 3968
3971.1932,Ba-5 3970
4069.7489,[S II] 4070
4077.5009,[S II] 4078
4102.8876,Ba-delta 4101.76A
4341.6803,Ba-gamma 4341
4364.4363,[O III] 4363
4472.7448,He I 4471.49A
4622.8644,[C  I] 4621
4686.9914,He II 4685.64A
4712.5782,[Ar IV] 4711
4721.3205,[Ne IV] 4720
4741.4458,[Ar IV] 4740
4862.6779,Ba-beta 4861
4932.6065,[O III] 4931
4960.2939,[O III] 4959
5008.2366,[O III] 5007
5193.2658,[Ar III] 5192
5201.7081,[N I] 5200
5519.2427,[Cl III] 5518
5539.4081,[Cl III] 5538
5578.8887,[O I] 5577
5756.1861,[N II] 5755
5877.2685,He I 5875.64A
6302.0424,[O I] 6300
6313.8055,[S III] 6312
6365.5394,[O I] 6363
6549.8589,[N II] 6548
6564.6129,Ba-alpha 6563
6585.2684,[N II] 6584
6679.9939,He I 6678.15A
6718.2942,[S II] 6716
6732.6781,[S II] 6731
7067.1581,He I 7065.22A
7137.7571,[Ar III] 7135
7172.6765,[Ar IV] 7171
7239.7646,[Ar IV] 7237
7265.3315,[Ar IV] 7263
7325.0176,[O II] 7323
7334.02,[O II] 7332
7334.17,[Ar IV] 7332
7753.243,[Ar III] 7751
8581.0567,[Cl II] 8579
8729.5268,[C I] 8727
9017.3847,Pa-7 9015
9071.1092,[S III] 9069
9126.1041,[Cl II] 9124
9231.5527,Pa-6 9229
9533.2343,[S III] 9532
9548.5885,Pa-5 9546
9852.7009,[C I] 9850
10052.155,Pa-delta 1.00494um
10111.671,Fe VI 1.01089m
10126.275,He II 1.01233um
10323.328,[S II] 1.0324um
10833.267,He I 1.08303um
10941.096,Pa-gamma 1.09381um
12570.238,Fe II 1.25668um
12821.606,Pa-beta 1.28181um
17366.842,Br-6 1.73621um
18179.063,Br-5 1.81741um
18756.12,Pa-alpha 1.8751um
19450.909,Br-delta 1.94456um
19630.058,[Si VI] 1.96247um
20586.918,He I 2.05813um
21661.21,Br-gamma 2.16553um
26258.662,Br-beta 2.62515um
29052.923,[Al V] 2.90450um
30391.988,Pf-5 3.03837um
32069.745,[Ca IV] 3.20610um
32969.89,Pf-delta 3.29609um
36603.18,[Al VI] 3.65932um
37405.598,Pf-gamma 3.73953um
40522.548,Br-alpha 4.05116um
44883.336,[Mg IV] 4.48712um
45292.347,[Ar VI] 4.52800um
46537.786,Pf-beta 4.65250um
51286.58,Hu-delta 5.12725um
56085.288,[Mg V] 5.60700um
59082.104,Hu-gamma 5.90659um
59819.305,K IV 5.98030m
69852.739,Ar II 6.98337um
73176.945,Na III 7.31706m
74598.533,Pf-alpha 7.45781um
75024.949,Hu-beta 7.50043um
76522.757,[Ne VI] 7.64318um
78124.994,[Fe VII] 7.81037m
79018.637,[Ar V] 7.89971um
89914.306,Ar III 8.98898um
90334.221,[Na IV] 9.03098um
95102.22,[Fe VII] 9.50763m
105104.65,[S IV] 10.5076um
123107.55,[Fe VI] 12.3074m
123718.72,Hu-alpha 12.3685um
128135.92,Ne II 12.8101um
131020.71,[Ar V] 13.0985um
143217.03,[Ne V] 14.3228um
143678.16,Cl II 14.3639um
147710.26,[Fe VI] 14.7670m
155551.39,Ne III 15.5509um
187129,S III 18.7078um
195580.3,[Fe VI] 19.5527m
218312.5,Ar III 21.8300um
243174.27,[Ne V] 24.2065um
258933.57,O IV 25.8832um
328709.58,P II 32.8620um
334795.24,S III 33.4704um
348140.88,Si II 34.8046um
360134.15,Ne III 36.0036um
518145.21,O III 51.8004um
573394.27,N III 57.3238um
606428.27,P II 60.6263um
631851.2,O I 63.1679um
883563.8,O III 88.3323um
1218022,N II 121.767um
1455346.6,O I 145.495um
1576789.7,C II 157.636um
2053389.6,N II 205.244um
3703699.4,[C I] 370.269um
6097561.8,[C I] 609.590um
